month,behavioral_index_pure
2010-01-01,0.14619471842708942
2010-02-01,0.14303498979891083
2010-03-01,0.2779260561794704
2010-04-01,0.30263748620140674
2010-05-01,0.15131521877080004
2010-06-01,0.15925235315804878
2010-07-01,0.14200805042038173
2010-08-01,0.04986346202505615
2010-09-01,0.027615272572051947
2010-10-01,0.0
2010-11-01,0.0974578552486594
2010-12-01,0.13713278161347073
2011-01-01,0.16347696325382005
2011-02-01,0.29343598715489044
2011-03-01,0.28962837571799366
2011-04-01,0.25991130265621665
2011-05-01,0.29764171121532496
2011-06-01,0.16984702616245012
2011-07-01,0.22765314765106728
2011-08-01,0.10673059611624973
2011-09-01,0.06488904984077831
2011-10-01,0.04358420156052828
2011-11-01,0.12392884260216785
2011-12-01,0.11296104852055125
2012-01-01,0.14318366242562375
2012-02-01,0.23288277123723922
2012-03-01,0.3274831478172298
2012-04-01,0.3369572998653431
2012-05-01,0.3258829735242309
2012-06-01,0.27518923815875934
2012-07-01,0.30012514225422116
2012-08-01,0.1185204970498615
2012-09-01,0.07629911376135448
2012-10-01,0.050855146804063486
2012-11-01,0.14223426763008074
2012-12-01,0.2212188740747143
2013-01-01,0.22811282250282172
2013-02-01,0.2606229930035809
2013-03-01,0.3014801703842939
2013-04-01,0.3791337723063245
2013-05-01,0.3768679633953822
2013-06-01,0.3302494094171022
2013-07-01,0.2161970274331346
2013-08-01,0.1813977478727011
2013-09-01,0.1479545442120299
2013-10-01,0.134086104247689
2013-11-01,0.20286796626051473
2013-12-01,0.22270536146553965
2014-01-01,0.2696393829983428
2014-02-01,0.31498487613461335
2014-03-01,0.36448303881442806
2014-04-01,0.4006803155459281
2014-05-01,0.30483951462845393
2014-06-01,0.3334173380539108
2014-07-01,0.24455777287860558
2014-08-01,0.18057893821785664
2014-09-01,0.15063836088806262
2014-10-01,0.23803694763918473
2014-11-01,0.12719985095922648
2014-12-01,0.27856467891156117
2015-01-01,0.204693857013975
2015-02-01,0.33403263204026007
2015-03-01,0.3964247330445801
2015-04-01,0.43205002171780466
2015-05-01,0.45455160849499615
2015-06-01,0.394415669325597
2015-07-01,0.28937919755531205
2015-08-01,0.2520152291454957
2015-09-01,0.25746733050840936
2015-10-01,0.17630869749113023
2015-11-01,0.13904514615659913
2015-12-01,0.21091792378538854
2016-01-01,0.29241680201194603
2016-02-01,0.39397624516609836
2016-03-01,0.4512649046562353
2016-04-01,0.4934655305738306
2016-05-01,0.42366644148876176
2016-06-01,0.398912173503014
2016-07-01,0.36625981909032534
2016-08-01,0.2602044839951846
2016-09-01,0.2576984868241533
2016-10-01,0.1934151539838526
2016-11-01,0.23129444799366494
2016-12-01,0.2804432672845385
2017-01-01,0.30207134842339983
2017-02-01,0.44427681054697055
2017-03-01,0.45939346373346485
2017-04-01,0.49338726331875704
2017-05-01,0.510356383820765
2017-06-01,0.4598263834876572
2017-07-01,0.4013946272705601
2017-08-01,0.3157314321322438
2017-09-01,0.26569754992494
2017-10-01,0.2850813378847268
2017-11-01,0.2087925893661806
2017-12-01,0.26113476228025245
2018-01-01,0.3310478268686102
2018-02-01,0.395643903679853
2018-03-01,0.5370476053292996
2018-04-01,0.4844365429426789
2018-05-01,0.4998888744894086
2018-06-01,0.5129318745349177
2018-07-01,0.38715319767996936
2018-08-01,0.3728851012530229
2018-09-01,0.2449143323319435
2018-10-01,0.27544188937178343
2018-11-01,0.2657690678689426
2018-12-01,0.35875193373865
2019-01-01,0.47249503671793064
2019-02-01,0.40062876426173605
2019-03-01,0.5619862371762869
2019-04-01,0.5695418617345933
2019-05-01,0.5259659662216217
2019-06-01,0.4158944216024062
2019-07-01,0.44916740596048405
2019-08-01,0.3562270009468553
2019-09-01,0.36094870420084413
2019-10-01,0.31575575841340237
2019-11-01,0.4098004845893837
2019-12-01,0.4040537367034355
2020-01-01,0.4246179499474766
2020-02-01,0.5332521231892986
2020-03-01,0.5915518931024173
2020-04-01,0.6609418459834894
2020-05-01,0.618964774366464
2020-06-01,0.5447597766313511
2020-07-01,0.5388426017919044
2020-08-01,0.3719513360718621
2020-09-01,0.3406358344475188
2020-10-01,0.33229913722406346
2020-11-01,0.3768071178791345
2020-12-01,0.367393745474368
2021-01-01,0.5345238212217401
2021-02-01,0.5547397014981171
2021-03-01,0.5406000747093954
2021-04-01,0.5830861034727713
2021-05-01,0.6154221173078577
2021-06-01,0.6029615081934526
2021-07-01,0.598927675672793
2021-08-01,0.5710106883226477
2021-09-01,0.44274731609074197
2021-10-01,0.35062510519477463
2021-11-01,0.3132948064746901
2021-12-01,0.46878912115216065
2022-01-01,0.7303887691831289
2022-02-01,0.8249203325830564
2022-03-01,0.8691816910461495
2022-04-01,0.9078784637733871
2022-05-01,0.9366472170924499
2022-06-01,0.8620143727988081
2022-07-01,0.7867642882880962
2022-08-01,0.6874995965355397
2022-09-01,0.6067878049667974
2022-10-01,0.6463483507108075
2022-11-01,0.7008336457763695
2022-12-01,0.8249377274330297
2023-01-01,0.8179825044316592
2023-02-01,0.9217876590745238
2023-03-01,0.9169345052058004
2023-04-01,0.9049273220645189
2023-05-01,0.8613562614388932
2023-06-01,0.849250182959694
2023-07-01,0.9413221030806147
2023-08-01,0.7306235360034617
2023-09-01,0.7878517265478946
2023-10-01,0.6496991037499521
2023-11-01,0.7822691972881107
2023-12-01,0.8035819875125795
2024-01-01,0.8281963272755334
2024-02-01,0.9311466795316029
2024-03-01,0.9281449170649881
2024-04-01,1.0
2024-05-01,0.9359086961599921
2024-06-01,0.8723429792431359
2024-07-01,0.796926935692115
2024-08-01,0.8169010785567162
2024-09-01,0.8328755726222872
2024-10-01,0.7631643737178625
2024-11-01,0.7351508023782584
2024-12-01,0.8203637574543436
