month,ipc_level,inflation_mom,inflation_yoy,publication_date,is_official,inflation_regime
2022-10-01,119.2,0.7607776838546076,14.285714285714302,2022-11-20,True,1.0
2022-11-01,119.7,0.4194630872483174,14.87523992322457,2022-12-20,True,1.0
2022-12-01,120.5,0.6683375104427736,15.532118887823598,2023-01-20,True,1.0
2023-01-01,122.1,1.327800829875514,17.40384615384616,2023-02-20,True,1.0
2023-02-01,127.0,4.0131040131040185,20.83729781160799,2023-03-20,True,1.0
2023-03-01,127.4,0.31496062992126816,16.453382084095058,2023-04-20,True,1.0
2023-04-01,131.7,3.375196232339084,16.858917480035473,2023-05-20,True,1.0
2023-05-01,130.6,-0.8352315869400107,16.088888888888885,2023-06-20,True,1.0
2023-06-01,127.4,-2.450229709035212,13.143872113676736,2023-07-20,True,1.0
2023-07-01,128.3,0.7064364207221452,12.052401746724906,2023-08-20,True,1.0
2023-08-01,128.6,0.23382696804363778,10.576096302665515,2023-09-20,True,1.0
2023-09-01,130.3,1.3219284603421588,10.143702451394777,2023-10-20,True,1.0
2023-10-01,129.9,-0.3069838833461236,8.976510067114084,2023-11-20,True,1.0
2023-11-01,128.9,-0.7698229407236301,7.685881370091896,2023-12-20,True,1.0
2023-12-01,128.7,-0.15515903801397446,6.804979253112031,2024-01-20,True,1.0
2024-01-01,127.3,-1.0878010878010769,4.258804258804272,2024-02-20,True,1.0
2024-02-01,126.4,-0.706991358994491,-0.47244094488188004,2024-03-20,True,0.0
2024-03-01,128.5,1.661392405063289,0.8634222919937207,2024-04-20,True,0.0
2024-04-01,129.8,1.0116731517509914,-1.442672741078188,2024-05-20,True,0.0
2024-05-01,128.9,-0.6933744221879867,-1.3016845329249516,2024-06-20,True,0.0
2024-06-01,129.5,0.46547711404187897,1.6483516483516425,2024-07-20,True,0.0
2024-07-01,128.7,-0.6177606177606321,0.3117692907248504,2024-08-20,True,0.0
2024-08-01,131.1,1.8648018648018683,1.9440124416796323,2024-09-20,True,0.0
2024-09-01,131.0,-0.07627765064835978,0.5372217958557135,2024-10-20,True,0.0
2024-10-01,130.3,-0.5343511450381588,0.3079291762894565,2024-11-20,True,0.0
2024-11-01,129.8,-0.38372985418265726,0.6982156710628518,2024-12-20,True,0.0
2024-12-01,129.5,-0.23112480739599928,0.6216006216006376,2025-01-20,True,0.0
