date,score_lexical_raw,n_texts,source_type_dominant,n_negative_hits,n_positive_hits,coverage_flag,imputation_reason,score_lexical_norm,notes
2023-05-01,0.175,80,post_excerpt,18,4,1,,1.0,
2023-06-01,0.13043478260869565,69,post_excerpt,11,2,1,,0.8571428571428571,
2023-07-01,0.10377358490566038,106,post_excerpt,13,2,1,,0.7695417789757412,
2023-08-01,0.09545454545454546,110,post_excerpt,20,9,1,,0.7422077922077922,
2023-09-01,-0.0472972972972973,74,post_excerpt,8,11,1,,0.2731660231660231,
2023-10-01,-0.00909090909090909,110,post_excerpt,12,13,1,,0.39870129870129867,
2023-11-01,0.07462686567164178,67,post_excerpt,7,2,1,,0.6737739872068229,
2023-12-01,0.12179487179487179,78,post_excerpt,12,3,1,,0.8287545787545786,
2024-01-01,0.13253012048192772,83,post_excerpt,18,8,1,,0.8640275387263339,
2024-02-01,-0.03409090909090909,88,post_excerpt,5,8,1,,0.31655844155844154,
2024-03-01,0.0,102,post_excerpt,10,10,1,,0.42857142857142855,
2024-04-01,0.07526881720430108,93,post_excerpt,10,3,1,,0.6758832565284179,
2024-05-01,0.034782608695652174,115,post_excerpt,12,8,1,,0.5428571428571428,
2024-06-01,0.07216494845360824,97,post_excerpt,16,9,1,,0.6656848306332842,
2024-07-01,0.03571428571428571,112,post_excerpt,10,6,1,,0.5459183673469388,
2024-08-01,0.17475728155339806,103,post_excerpt,32,15,1,,1.0,
2024-09-01,-0.095,100,post_excerpt,11,21,1,,0.11642857142857141,
2024-10-01,0.07894736842105263,95,post_excerpt,16,8,1,,0.68796992481203,
2024-11-01,-0.04950495049504951,101,post_excerpt,7,12,1,,0.2659123055162659,
2024-12-01,0.010101010101010102,99,post_excerpt,8,7,1,,0.46176046176046176,
