month,fao_food_index,fao_food_yoy,fao_cereals_index,fao_cereals_yoy,fao_oils_index,fao_oils_yoy,mad_eur,fx_yoy
2010-01-01,101.8,,98.4,,107.1,,11.30133,
2010-02-01,99.3,,94.0,,107.31,,11.21867,
2010-03-01,96.5,,91.8,,110.33,,11.2003826086957,
2010-04-01,97.1,,90.7,,109.36,,11.17853,
2010-05-01,96.4,,90.6,,107.17,,11.0509619047619,
2010-06-01,95.9,,87.8,,106.03,,11.0045681818182,
2010-07-01,100.0,,95.3,,110.13,,11.1010227272727,
2010-08-01,107.8,,112.9,,121.81,,11.115,
2010-09-01,114.1,,125.9,,124.85,,11.1387909090909,
2010-10-01,120.1,,130.6,,139.18,,11.2536142857143,
2010-11-01,124.2,,132.4,,153.87,,11.2222045454545,
2010-12-01,129.4,,139.7,,166.26,,11.1558,
2011-01-01,133.8,31.434184675834985,144.9,47.2560975609756,174.49,62.92250233426706,11.1758,-1.1107542209633725
2011-02-01,137.7,38.67069486404833,151.4,61.063829787234056,175.43,63.47963843071476,11.222045,0.0300837799846132
2011-03-01,134.3,39.17098445595857,145.5,58.4967320261438,163.11,47.83830327200218,11.2746739130435,0.6632925583285321
2011-04-01,136.3,40.37075180226572,151.7,67.25468577728775,162.79,48.85698610095097,11.3336631578947,1.3877778016850195
2011-05-01,135.1,40.145228215767624,150.9,66.55629139072849,162.4,51.534944480731546,11.3315227272727,2.5387909661502395
2011-06-01,134.8,40.563086548488016,147.1,67.53986332574031,160.78,51.63632934075262,11.3326863636364,2.9816543129817408
2011-07-01,133.0,33.00000000000001,140.5,47.429171038824755,156.05,41.69617724507402,11.3174095238095,1.949251000137009
2011-08-01,132.7,23.09833024118737,144.9,28.343666961913193,151.48,24.357606107872897,11.3305391304348,1.9391734632010937
2011-09-01,130.1,14.02278702892199,140.5,11.596505162827642,147.82,18.398077693231873,11.2553045454545,1.0460169089672622
2011-10-01,125.6,4.579517069109085,133.1,1.9142419601837712,137.99,-0.8550079034344016,11.2389523809524,-0.13028618530591674
2011-11-01,125.9,1.3687600644122444,130.9,-1.132930513595165,144.96,-5.7906024566192205,11.2117409090909,-0.09324047090052412
2011-12-01,121.9,-5.795981452859356,124.4,-10.95204008589834,140.45,-15.523878262961633,11.1542619047619,-0.013787404203191578
2012-01-01,122.2,-8.6696562032885,127.2,-12.215320910973082,144.33,-17.28465814659865,11.1183409090909,-0.5141385038127111
2012-02-01,125.3,-9.005083514887435,131.1,-13.408190224570681,148.34,-15.442056660776382,11.1635238095238,-0.5214841900580414
2012-03-01,125.7,-6.403574087862996,130.6,-10.240549828178702,152.47,-6.523205198945503,11.1619454545455,-0.9998378610984626
2012-04-01,124.4,-8.730741012472487,129.1,-14.897824653922209,156.29,-3.9928742551753826,11.1558842105263,-1.5685921214674825
2012-05-01,119.0,-11.917098445595853,126.3,-16.302186878727642,144.4,-11.083743842364536,11.0962772727273,-2.0760268518829617
2012-06-01,115.8,-14.094955489614257,125.3,-14.81985044187627,135.26,-15.872620972757812,11.0485095238095,-2.5075858513013194
2012-07-01,122.0,-8.270676691729328,143.9,2.4199288256227858,138.56,-11.207946171099014,11.0091727272727,-2.72356316070681
2012-08-01,123.2,-7.159005275056507,147.1,1.5182884748102143,138.31,-8.694217058357534,11.0247173913043,-2.699092563998451
2012-09-01,125.1,-3.843197540353571,146.8,4.483985765124565,136.93,-7.367068055743465,11.107125,-1.3165307509546031
2012-10-01,124.0,-1.273885350318471,146.5,10.06761833208114,124.9,-9.486194651786361,11.124547826087,-1.017928993624806
2012-11-01,123.5,-1.9062748212867353,148.5,13.4453781512605,121.52,-16.169977924944824,11.1030272727273,-0.9696409972821507
2012-12-01,122.8,0.7383100902379036,146.4,17.684887459807076,118.38,-15.713777144891417,11.1451473684211,-0.0817134869041225
2013-01-01,123.4,0.9819967266775809,145.2,14.1509433962264,124.28,-13.891775791588723,11.1729409090909,0.4910804628715404
2013-02-01,123.3,-1.5961691939345601,142.3,8.54309687261634,125.55,-15.363354455979506,11.176505,0.11628219456230049
2013-03-01,122.9,-2.2275258552108212,139.9,7.120980091883622,122.38,-19.735029841936125,11.11821,-0.3918264492834389
2013-04-01,122.9,-1.205787781350487,134.9,4.492641363284289,120.64,-22.810160598886686,11.1313666666667,-0.21977230488342547
2013-05-01,122.2,2.6890756302521135,136.4,7.9968329374505265,121.05,-16.17036011080333,11.1195090909091,0.2093658765980999
2013-06-01,120.9,4.404145077720223,133.8,6.783719074221883,120.68,-10.779239982256383,11.157105,0.9828970682106641
2013-07-01,118.0,-3.2786885245901676,126.4,-12.161223071577487,116.22,-16.122979214780596,11.1410434782609,1.1978261605571916
2013-08-01,116.2,-5.681818181818176,119.2,-18.96668932698844,111.89,-19.10201720772179,11.1779363636364,1.3897768704071334
2013-09-01,116.4,-6.954436450839319,116.7,-20.504087193460496,112.92,-17.53450668224641,11.1898904761905,0.7451566106485785
2013-10-01,118.7,-4.274193548387095,118.7,-18.97610921501707,116.04,-7.093674939951966,11.2316086956522,0.962384010918127
2013-11-01,118.6,-3.967611336032395,118.0,-20.538720538720533,121.97,0.37030941408822127,11.2101380952381,0.964699265162583
2013-12-01,118.2,-3.7459283387622055,117.9,-19.467213114754102,120.38,1.6894745734076677,11.24606,0.9054400829622722
2014-01-01,116.2,-5.834683954619124,117.0,-19.421487603305778,115.58,-7.000321853878344,11.2321636363636,0.5300549582653913
2014-02-01,118.6,-3.811841038118413,119.7,-15.881939564300772,120.84,-3.7514934289127777,11.234215,0.5163510417612649
2014-03-01,122.1,-0.6509357200976451,125.4,-10.364546104360262,125.38,2.45138094459878,11.2528142857143,1.2106650775106864
2014-04-01,121.5,-1.1391375101708734,125.5,-6.968124536693853,121.53,0.7377320954907063,11.256635,1.1253634624077247
2014-05-01,121.2,-0.8183306055646433,125.2,-8.211143695014666,119.18,-1.5448161916563286,11.2446428571429,1.1253533335936927
2014-06-01,119.2,-1.4061207609594728,118.7,-11.285500747384159,115.22,-4.524361948955924,11.2271047619048,0.6274007630545642
2014-07-01,116.3,-1.4406779661017,112.2,-11.234177215189877,110.63,-4.809843400447433,11.2203695652174,0.7120166716096721
2014-08-01,112.8,-2.9259896729776247,110.4,-7.38255033557047,101.65,-9.15184556260613,11.188019047619,0.09020165846891359
2014-09-01,109.2,-6.185567010309279,107.4,-7.969151670951158,98.55,-12.72582359192349,11.1239045454545,-0.5896923734544424
2014-10-01,109.3,-7.919123841617526,108.2,-8.845829823083406,100.09,-13.745260255084457,11.0802391304348,-1.3477104599984524
2014-11-01,108.1,-8.853288364249579,109.3,-7.372881355932204,100.85,-17.31573337705994,11.040345,-1.5146387474943457
2014-12-01,105.2,-10.998307952622676,110.9,-5.93723494486853,97.89,-18.68250539956803,11.0199666666667,-2.010422613193419
2015-01-01,101.0,-13.080895008605854,105.9,-9.487179487179487,95.0,-17.805848762761723,10.8971095238095,-2.982988170412504
2015-02-01,98.7,-16.779089376053957,101.6,-15.121136173767757,95.18,-21.234690499834485,10.836335,-3.5416804823479087
2015-03-01,95.7,-21.62162162162161,99.5,-20.653907496012756,92.62,-26.128569149784653,10.7237136363636,-4.701940651614633
2015-04-01,94.6,-22.139917695473255,98.2,-21.752988047808763,91.87,-24.4054965852053,10.721575,-4.753285506725591
2015-05-01,95.0,-21.61716171617162,95.7,-23.562300319488816,94.49,-20.71656318174191,10.859235,-3.4274797522633516
2015-06-01,94.6,-20.63758389261746,96.7,-18.5341196293176,95.89,-16.776601284499215,10.8878818181818,-3.021464134493801
2015-07-01,93.8,-19.346517626827175,98.9,-11.853832442067736,90.43,-18.2590617373226,10.8026652173913,-3.7227325303166636
2015-08-01,89.5,-20.65602836879432,91.9,-16.757246376811597,82.29,-19.045745204131826,10.8596857142857,-2.9346869355140637
2015-09-01,88.9,-18.58974358974359,90.5,-15.735567970204844,81.96,-16.834094368340946,10.8966863636364,-2.04261175461945
2015-10-01,90.3,-17.383348581884718,91.7,-15.249537892791132,87.76,-12.318912978319506,10.9037954545455,-1.5924175806337093
2015-11-01,87.7,-18.8714153561517,90.5,-17.2003659652333,85.13,-15.587506197322753,10.7131047619048,-2.9640399651931215
2015-12-01,87.0,-17.30038022813688,89.4,-19.386834986474298,86.68,-11.451629379916229,10.7756954545455,-2.2166238747352462
2016-01-01,84.9,-15.940594059405932,87.6,-17.280453257790374,85.29,-10.221052631578942,10.77041,-1.1626892758365814
2016-02-01,86.1,-12.765957446808518,87.3,-14.074803149606296,92.15,-3.1834418995587366,10.8601,0.2193084654544153
2016-03-01,87.4,-8.67293625914315,86.5,-13.06532663316583,97.34,5.096091556899163,10.8624190476191,1.2934456845729025
2016-04-01,89.1,-5.813953488372093,88.4,-9.979633401221989,101.17,10.122999891150531,10.9528428571429,2.157032498890321
2016-05-01,90.6,-4.631578947368431,91.1,-4.806687565308265,99.56,5.365647158429465,10.9419409090909,0.761618190332003
2016-06-01,93.8,-0.8456659619450302,94.1,-2.6887280248190315,97.93,2.127437689018663,10.9152,0.2509044667676541
2016-07-01,93.0,-0.8528784648187626,90.4,-8.594539939332657,94.9,4.943049872829808,10.8650761904762,0.5777368068800692
2016-08-01,95.3,6.480446927374306,89.3,-2.8291621327530048,102.39,24.425811155668974,10.9108173913043,0.4708393812109968
2016-09-01,96.1,8.098987626546661,86.3,-4.640883977900556,104.32,27.28160078086872,10.9051863636364,0.07800536526743063
2016-10-01,95.9,6.20155038759691,86.7,-5.452562704471098,101.85,16.05515041020964,10.835180952381,-0.6292717288262861
2016-11-01,96.0,9.464082098061578,86.0,-4.972375690607733,106.16,24.703394807940793,10.7479636363636,0.32538535964621307
2016-12-01,95.3,9.540229885057471,86.1,-3.6912751677852462,110.26,27.203507152745733,10.653480952381,-1.134168116387757
2017-01-01,97.8,15.194346289752648,88.7,1.255707762557079,112.19,31.539453628795865,10.6773,-0.8644981945905461
2017-02-01,98.1,13.937282229965152,90.0,3.0927835051546504,107.97,17.167661421595227,10.690985,-1.5572140219703323
2017-03-01,96.2,10.068649885583515,87.9,1.6184971098266,101.59,4.366139305527028,10.7131043478261,-1.3745989649122325
2017-04-01,95.0,6.621773288439958,86.9,-1.6968325791855254,97.58,-3.548482751803894,10.7374777777778,-1.9662938852870404
2017-05-01,97.3,7.395143487858724,88.3,-3.073545554335888,101.96,2.4106066693451167,10.8747,-0.6145245130599553
2017-06-01,97.8,4.264392324093813,92.4,-1.8065887353878707,97.47,-0.46972327172470907,10.9466954545455,0.28854674715534934
2017-07-01,100.0,7.526881720430101,96.9,7.1902654867256555,96.66,1.8545837723919822,11.0476333333333,1.6802196289899873
2017-08-01,99.2,4.092339979013637,92.3,3.3594624860022293,99.16,-3.154604941888861,11.1447347826087,2.1439034575982063
2017-09-01,99.7,3.7460978147762836,92.1,6.720741599072988,103.83,-0.4697085889570518,11.157180952381,2.310777462592317
2017-10-01,98.8,3.023983315954104,91.8,5.882352941176472,102.68,0.8149239077074322,11.1047363636364,2.4877795067757225
2017-11-01,98.8,2.9166666666666563,92.1,7.093023255813957,103.85,-2.1759608138658626,11.1058090909091,3.329425616353965
2017-12-01,96.4,1.1542497376705319,92.4,7.317073170731714,97.96,-11.155450752766194,11.1635263157895,4.787593516976307
2018-01-01,96.7,-1.1247443762781084,95.2,7.328072153325826,98.25,-12.425349852928068,11.2844636363636,5.686490370820341
