month,behavioral_index_pure,score_lexical_norm,besi_v2a_fixed,besi_v2b_lasso,besi_v2c_nlp_only
2017-01-01,0.3139468902098105,0.7465437788018433,0.44372595678742033,0.3139468902098105,0.7465437788018433
2017-02-01,0.4251598077245712,0.6632653061224489,0.4965914572439345,0.4251598077245712,0.6632653061224489
2017-03-01,0.4724586630085033,0.6277056277056277,0.5190327524176406,0.4724586630085033,0.6277056277056277
2017-04-01,0.4882749200316841,0.3258928571428571,0.43956030116503597,0.4882749200316841,0.3258928571428571
2017-05-01,0.5076255647097584,0.3290043290043289,0.45403919399812953,0.5076255647097584,0.3290043290043289
2017-06-01,0.4494020732314626,0.0,0.3145814512620238,0.4494020732314626,0.0
2017-07-01,0.3746728334525655,0.5714285714285714,0.43369955484536726,0.3746728334525655,0.5714285714285714
2017-08-01,0.313432911818489,0.7366071428571428,0.44038518113008507,0.313432911818489,0.7366071428571428
2017-09-01,0.2782714604155888,0.7744360902255638,0.4271208493585813,0.2782714604155888,0.7744360902255638
2017-10-01,0.3124287891088925,0.3586626139817628,0.3262989365707536,0.3124287891088925,0.3586626139817628
2017-11-01,0.2400552810612218,0.246031746031746,0.24184822055237903,0.2400552810612218,0.246031746031746
2017-12-01,0.2800046163254572,0.8571428571428571,0.4531460885706772,0.2800046163254572,0.8571428571428571
2018-01-01,0.3476626636495938,0.5107142857142857,0.39657815026900134,0.3476626636495938,0.5107142857142857
2018-02-01,0.3882688425033587,0.5459183673469388,0.43556369995643274,0.3882688425033587,0.5459183673469388
2018-03-01,0.5395289492655553,1.0,0.6776702644858887,0.5395289492655553,1.0
2018-04-01,0.4971396850384316,0.4285714285714285,0.4765692080983306,0.4971396850384316,0.4285714285714285
2018-05-01,0.5086437738497379,0.6218487394957982,0.542605263543556,0.5086437738497379,0.6218487394957982
2018-06-01,0.4629458796139321,0.5654761904761904,0.4937049728726095,0.4629458796139321,0.5654761904761904
2018-07-01,0.3795661671210569,0.6339285714285714,0.45587488841331125,0.3795661671210569,0.6339285714285714
2018-08-01,0.3372701959169416,0.8040816326530612,0.47731362693777746,0.3372701959169416,0.8040816326530612
2018-09-01,0.2299372941801701,0.6339285714285714,0.3511346773546905,0.2299372941801701,0.6339285714285714
2018-10-01,0.2599007622877216,0.5525606469002695,0.3476987276714859,0.2599007622877216,0.5525606469002695
2018-11-01,0.2709533270143581,0.6632653061224489,0.3886469207467853,0.2709533270143581,0.6632653061224489
2018-12-01,0.3735657407522757,0.5970695970695971,0.44061689764747214,0.3735657407522757,0.5970695970695971
2019-01-01,0.4593131822718101,0.4942857142857142,0.4698049418759813,0.4593131822718101,0.4942857142857142
2019-02-01,0.4140297335139556,0.6632653061224489,0.4888004052965036,0.4140297335139556,0.6632653061224489
2019-03-01,0.5520334005839529,0.5198412698412698,0.542375761361148,0.5520334005839529,0.5198412698412698
2019-04-01,0.5601305573956233,0.4285714285714285,0.5206628187483648,0.5601305573956233,0.4285714285714285
2019-05-01,0.542624334463114,0.3464285714285714,0.48376560555275117,0.542624334463114,0.3464285714285714
2019-06-01,0.4133332611129853,0.4285714285714285,0.4179047113505182,0.4133332611129853,0.4285714285714285
2019-07-01,0.4450434596788205,0.5813953488372092,0.4859490264263371,0.4450434596788205,0.5813953488372092
2019-08-01,0.3553089035914702,0.5599999999999999,0.4167162325140291,0.3553089035914702,0.5599999999999999
2019-09-01,0.3601916063955108,0.7023809523809523,0.4628484101911432,0.3601916063955108,0.7023809523809523
2019-10-01,0.2921552487407098,0.7414965986394557,0.42695765371033356,0.2921552487407098,0.7414965986394557
2019-11-01,0.3589955829134564,0.5150375939849624,0.40580818623490816,0.3589955829134564,0.5150375939849624
2019-12-01,0.4265903427966045,0.3258928571428571,0.39638109710048025,0.4265903427966045,0.3258928571428571
2020-01-01,0.4527869596656986,0.3021978021978022,0.4076102124253297,0.4527869596656986,0.3021978021978022
2020-02-01,0.5253653309349584,0.611111111111111,0.5510890649878042,0.5253653309349584,0.611111111111111
2020-03-01,0.5936795499221117,0.4755102040816326,0.5582287461699679,0.5936795499221117,0.4755102040816326
2020-04-01,0.6388099318529902,0.4285714285714285,0.5757383808685216,0.6388099318529902,0.4285714285714285
2020-05-01,0.6016153949199032,0.3738095238095238,0.5332736335867894,0.6016153949199032,0.3738095238095238
2020-06-01,0.524116448781764,0.3586626139817628,0.47448029834176364,0.524116448781764,0.3586626139817628
2020-07-01,0.499496668695669,0.3912337662337662,0.46701779795709814,0.499496668695669,0.3912337662337662
2020-08-01,0.3996817819966169,0.5224489795918367,0.4365119412751828,0.3996817819966169,0.5224489795918367
2020-09-01,0.3402647646790073,0.4285714285714285,0.3667567638467336,0.3402647646790073,0.4285714285714285
2020-10-01,0.3602018955815761,0.4285714285714285,0.3807127554785318,0.3602018955815761,0.4285714285714285
2020-11-01,0.395331286960045,0.5173745173745173,0.4319442560843867,0.395331286960045,0.5173745173745173
2020-12-01,0.3902046094640355,0.5185909980430528,0.42872052603774063,0.3902046094640355,0.5185909980430528
2021-01-01,0.5321694812833794,0.3152709359605911,0.4670999176865429,0.5321694812833794,0.3152709359605911
2021-02-01,0.5631217048046433,0.490566037735849,0.541355004684005,0.5631217048046433,0.490566037735849
