bloc,model,rmse,mae,mape,smape,mase,theils_u,n_test
A,naif,1.3762872762133138,1.0333333333333332,1.0141117563427557,1.0163335402766382,0.9861687413554635,1.0,24
A,sarima,1.913106178565998,1.5468408708775947,1.5158266422874824,1.5152750433393296,1.4762381755263356,1.390048583337685,24
A,sarimax_behavioral,1.8066598998330419,1.4762096151045956,1.449216161538157,1.446406384773572,1.4088307530043862,1.3127055165429167,24
A,sarimax_hybrid,2.003609025741329,1.6004605096778775,1.5710551807610047,1.5688529138060556,1.5274104449207964,1.455807272486028,24
B,naif,1.8425525772688276,1.3666666666666667,1.1129651480705627,1.1214916103747123,0.978186775732788,1.0,36
B,sarima,1.9323665961287326,1.5276999543298773,1.243276851941545,1.247060028375989,1.0934457750827342,1.0487443451915137,36
B,sarimax_behavioral,1.976061776750682,1.5687714674231732,1.2766638592143549,1.2813670273402533,1.122842563595318,1.0724588275683031,36
B,sarimax_hybrid,1.9911249716425397,1.5524982255612967,1.263281987446572,1.266519606805352,1.1111950489702531,1.0806340053503045,36
