model,signal_col,aic,rmse_bloc_b,recall_bloc_b,precision_bloc_b,f1_bloc_b,ap_bloc_b,threshold_signal,tp,fp,fn,aic_delta_vs_v1
SARIMAX + BESI v1 (Trends),behavioral_index_pure,2077.397219925054,1.976061776750682,1.0,0.6857142857142857,0.8135593220338984,0.5684759632838986,0.2400552810612218,24,11,0,0.0
SARIMAX + BESI v2a (Fixe),besi_v2a_fixed,648.970130092861,1.9858534453756496,1.0,0.6857142857142857,0.8135593220338984,0.6888880704394778,0.24184822055237903,24,11,0,-1428.427089832193
SARIMAX + BESI v2b (Lasso),besi_v2b_lasso,2077.397219925054,1.976061776750682,1.0,0.6857142857142857,0.8135593220338984,0.5684759632838986,0.2400552810612218,24,11,0,0.0
SARIMAX + NLP seul,besi_v2c_nlp_only,73.87352630927228,1.904569915155969,0.875,0.6774193548387096,0.7636363636363636,0.6951013267738911,0.246031746031746,21,10,3,-2003.5236936157817
