sim_id,aic_mc,delta_aic
0,100.10122805811923,-3.423552315474467
1,104.95995804497761,1.4351776713839115
2,104.84322073896493,1.3184403653712309
3,95.94969745965791,-7.575082913935788
4,105.34392948504177,1.8191491114480698
5,105.3484953888972,1.823715015303506
6,105.40528458822001,1.8805042146263133
7,104.6086551460414,1.0838747724477003
8,105.47896145555598,1.9541810819622754
9,105.46866041739096,1.9438800437972645
10,105.51763153198608,1.9928511583923836
11,104.30438950027062,0.7796091266769167
12,105.25300868224915,1.7282283086554457
13,105.41848297073675,1.8937025971430472
14,105.42402327638997,1.8992429027962743
15,100.82002006822458,-2.7047603053691205
16,104.58246307418446,1.0576827005907603
17,105.4989767129183,1.9741963393246067
18,105.33026592703183,1.8054855534381318
19,104.72584370270745,1.201063329113751
20,105.2626166515699,1.7378362779762
21,105.19741333293165,1.672632959337946
22,105.14359845968215,1.618818086088453
23,105.01719038872207,1.492410015128371
24,104.38724869348921,0.8624683198955125
25,104.63741689556723,1.1126365219735277
26,104.55088855477817,1.026108181184469
27,104.38531162696528,0.8605312533715761
28,100.66932334001584,-2.8554570335778635
29,105.5241386511517,1.9993582775580023
30,105.52038652657201,1.9956061529783113
31,104.63749440651627,1.1127140329225682
32,103.5888725974994,0.06409222390570335
33,104.7089311008068,1.184150727213094
34,105.37617950152847,1.8513991279347692
35,105.40162254878538,1.8768421751916833
36,105.10267757579396,1.577897202200262
37,105.36810170972002,1.8433213361263228
38,102.99982542319891,-0.5249549503947861
39,104.67238404673657,1.1476036731428678
40,105.51664199858021,1.9918616249865124
41,104.62300775548182,1.0982273818881225
42,103.87401707458926,0.3492367009955615
43,105.50856831138015,1.9837879377864454
44,105.10877920918001,1.5839988355863142
45,105.48554842197855,1.9607680483848497
46,104.58805361966282,1.0632732460691159
47,105.13123144420881,1.6064510706151083
48,102.51508859993875,-1.00969177365495
49,96.01046738841274,-7.514312985180965
50,105.413385104672,1.8886047310783027
51,98.42141126597498,-5.103369107618718
52,104.8001302074799,1.275349833886196
53,105.50371238323365,1.9789320096399479
54,104.59507960108401,1.0702992274903096
55,104.00392947584535,0.47914910225165386
56,104.2300206772053,0.7052403036116033
57,105.11746923223541,1.5926888586417078
58,103.84989982013045,0.3251194465367462
59,105.25496972850542,1.7301893549117153
