lag,correlation,p-value,n_obs
0,0.9156033009002156,1.397666687908785e-67,168
1,0.9177782586446019,4.431842957692795e-68,167
2,0.9225279233012569,1.03725118566477e-69,166
3,0.9230785060054846,1.5421648693865908e-69,165
4,0.9222146787841203,9.591325506943304e-69,164
5,0.9202359640340718,1.7337697433665245e-67,163
6,0.9168695821180004,1.058253151600145e-65,162
