window_size,rmse,mae,mape,train_time,n_params,epochs,type
24,0.046266256116226846,0.04566079552974788,3.76199676325885,4.9,18026,11,sans_exog
12,0.05467013291024296,0.054380990368882935,4.4698275451109,4.4,18026,11,sans_exog
18,0.057429774806769245,0.05709905485797454,4.6970769782404,4.3,18026,11,sans_exog
6,0.08842351423427718,0.0875116581588752,7.178527339880289,4.6,18026,13,sans_exog
18,0.06577029660112928,0.06489722204761203,5.320944175165451,4.7,18226,10,avec_exog
24,0.06577962462221632,0.06479828016184858,5.311498043304609,4.5,18226,11,avec_exog
12,0.07439625420342595,0.07308497846509954,5.9885452368172425,4.4,18226,12,avec_exog
6,0.08946518863883399,0.08792801723972794,7.205435481998839,4.6,18226,13,avec_exog
