fold,n_train,n_test,rmse_sarimax,rmse_hybrid,gain,note
3,30,10,0.9793379718680602,0.9508195904792551,0.028518381388805025,ok
4,40,10,2.6572972824366956,3.094705558126222,-0.43740827568952634,ok
5,50,10,2.3101086619331284,3.0287501297666073,-0.7186414678334789,ok
