scope,model_1,model_2,loss,alternative,n_obs,dm_stat,p_value,conclusion
global,Naif,SARIMA,MSE,two-sided,60,-1.4146,0.157177,Difference non significative
global,Naif,SARIMA,MSE,one-sided,60,-1.4146,0.921412,Amelioration directionnelle non significative - a nuancer dans la presentation
global,Naif,SARIMA,MAE,two-sided,60,-1.9254,0.054181,Difference non significative
global,Naif,SARIMA,MAE,one-sided,60,-1.9254,0.972909,Amelioration directionnelle non significative - a nuancer dans la presentation
global,Naif,SARIMAX+BESI,MSE,two-sided,60,-1.369,0.171012,Difference non significative
global,Naif,SARIMAX+BESI,MSE,one-sided,60,-1.369,0.914494,Amelioration directionnelle non significative - a nuancer dans la presentation
global,Naif,SARIMAX+BESI,MAE,two-sided,60,-1.9036,0.056964,Difference non significative
global,Naif,SARIMAX+BESI,MAE,one-sided,60,-1.9036,0.971518,Amelioration directionnelle non significative - a nuancer dans la presentation
global,Naif,SARIMAX+Hybride,MSE,two-sided,60,-1.7357,0.082622,Difference non significative
global,Naif,SARIMAX+Hybride,MSE,one-sided,60,-1.7357,0.958689,Amelioration directionnelle non significative - a nuancer dans la presentation
global,Naif,SARIMAX+Hybride,MAE,two-sided,60,-2.03,0.042361,Difference significative entre modeles
global,Naif,SARIMAX+Hybride,MAE,one-sided,60,-2.03,0.97882,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMA,SARIMAX+BESI,MSE,two-sided,60,0.2215,0.824722,Difference non significative
global,SARIMA,SARIMAX+BESI,MSE,one-sided,60,0.2215,0.412361,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMA,SARIMAX+BESI,MAE,two-sided,60,0.0717,0.942847,Difference non significative
global,SARIMA,SARIMAX+BESI,MAE,one-sided,60,0.0717,0.471423,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMA,SARIMAX+Hybride,MSE,two-sided,60,-1.1773,0.239075,Difference non significative
global,SARIMA,SARIMAX+Hybride,MSE,one-sided,60,-1.1773,0.880462,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMA,SARIMAX+Hybride,MAE,two-sided,60,-0.6236,0.532921,Difference non significative
global,SARIMA,SARIMAX+Hybride,MAE,one-sided,60,-0.6236,0.733539,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMAX+BESI,SARIMAX+Hybride,MSE,two-sided,60,-1.0598,0.289225,Difference non significative
global,SARIMAX+BESI,SARIMAX+Hybride,MSE,one-sided,60,-1.0598,0.855388,Amelioration directionnelle non significative - a nuancer dans la presentation
global,SARIMAX+BESI,SARIMAX+Hybride,MAE,two-sided,60,-0.5211,0.602316,Difference non significative
global,SARIMAX+BESI,SARIMAX+Hybride,MAE,one-sided,60,-0.5211,0.698842,Amelioration directionnelle non significative - a nuancer dans la presentation
