month,inflation_yoy,P_crise_ms_pure,P_stable_ms_pure,P_crise_ms_besi,P_stable_ms_besi
2018-01-01,3.752535496957399,,,,
2018-02-01,2.327935222672073,1.0,3.95492219780427e-30,0.9999982377088417,1.7622911581874134e-06
2018-03-01,3.4658511722732044,1.0,3.8178837869547014e-30,0.9999999890955555,1.0904444252095414e-08
2018-04-01,4.065040650406493,1.0,3.6527513357469834e-30,0.9999999999988626,1.1372610898961544e-12
2018-05-01,4.221105527638192,1.0,3.6364936331296855e-30,0.9999999999877717,1.2228229579119299e-11
2018-06-01,3.681592039801007,1.0,3.731288706301952e-30,0.9999999999800984,1.9901546860093e-11
2018-07-01,2.316213494461228,1.0,8.204178890858388e-32,0.9999999874322031,1.2567796633936779e-08
2018-08-01,2.006018054162495,1.0,2.2735730556913363e-30,0.9999999783876905,2.1612309463413553e-08
2018-09-01,0.4930966469427922,1.0,1.895132387989584e-32,0.9999993230075825,6.769924174016939e-07
2018-10-01,-0.1980198019801982,1.0,4.026688400193264e-31,0.9999989836086218,1.0163913778885457e-06
2018-11-01,0.0,1.0,2.681772952843672e-29,0.9999992976238772,7.023761224851588e-07
2018-12-01,-1.7526777020447917,1.0,6.824194939294093e-32,0.999999164955328,8.350446715014199e-07
2019-01-01,-2.7370478983382185,1.0,1.5573509896639808e-33,0.9999993196652167,6.80334783014707e-07
2019-02-01,-1.879327398615227,1.0,4.454520779058227e-31,0.9999999997641035,2.358962880176231e-10
2019-03-01,-2.6600985221674867,1.0,1.393262541275527e-34,0.9999999395957669,6.040423286263558e-08
2019-04-01,-2.34375,1.0,2.416886072286486e-34,0.9999999999602709,3.9728932764563213e-11
2019-05-01,-1.446480231436842,1.0,1.0031712994019636e-32,0.9999999999998901,1.0970278702607246e-13
2019-06-01,-1.5355086372360938,1.0,3.7691587815223e-33,0.999999999993011,6.988556998373892e-12
2019-07-01,-1.2795275590551158,1.0,7.89743773020056e-32,0.9999999890121187,1.0987880981876154e-08
2019-08-01,-0.4916420845624381,1.0,3.125454765550854e-30,0.9999999998901952,1.09804533418766e-10
2019-09-01,-1.6683022571148176,1.0,5.530126391786369e-34,0.9999985724594284,1.4275405713092642e-06
2019-10-01,-0.1984126984126977,1.0,2.2460369153146395e-31,0.9999999884166506,1.1583349006770047e-08
2019-11-01,-0.685602350636616,1.0,1.1263288512407576e-32,0.9999987147292544,1.285270745212785e-06
2019-12-01,0.5946481665014769,1.0,1.1509691582313124e-30,0.9999999723052004,2.7694799063888234e-08
2020-01-01,1.306532663316573,1.0,7.25161038144936e-30,0.9999999983872332,1.6127663034252477e-09
2020-02-01,1.4112903225806273,1.0,4.17598311526354e-29,0.9999999891577431,1.0842256244310713e-08
